dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.0043351,0.87967,0.50744,3,3,3,1,2,0.18308,0.0571,0.847
0.068339,0.58687,0.12338,1,2,1,1,1,0.22151,0.7215,0.24
0.34857,0.32934,0.14234,3,2,1,2,3,0.038296,0.9998,0.105
0.62869,0.91443,0.66235,3,2,3,3,2,0.43771,0.1066,0.053
0.67116,0.75669,0.53105,2,1,1,3,1,0.35755,0.9998,0.001
0.11715,0.4683,0.68491,2,2,2,3,2,0.41963,0.9998,0.011
0.51004,0.64695,0.65137,3,1,3,2,2,0.37185,0.0681,0.006
0.17937,0.37655,0.90516,1,1,3,2,3,0.43818,0.5301,0.001
0.51101,0.91146,0.070221,3,3,1,2,3,0.49377,0.9998,0.241
0.013656,0.56184,0.92269,3,2,2,2,3,0.27324,0.9998,0.044
0.51356,0.99481,0.45584,2,2,1,3,3,0.21302,0.9998,0.044
0.82908,0.65831,0.55196,1,1,3,3,2,0.10664,0.0351,0.001
0.21966,0.5844,0.62991,2,1,1,3,2,0.27765,0.9998,0.001
0.15987,0.76679,0.01792,1,1,1,2,2,0.059838,0.9998,0.138
0.24288,0.88399,0.81359,3,3,1,2,3,0.31449,0.9998,0.165
0.63195,0.47029,0.57141,1,2,3,3,2,0.49086,0.1055,0.026
0.083986,0.47521,0.81135,3,1,3,2,3,0.042212,0.6643,0.003
0.35038,0.63495,0.5874,2,3,3,1,2,0.072903,0.0263,0.9
0.7831,0.77998,0.46622,3,2,1,2,3,0.13016,0.9998,0.11
0.79459,0.94807,0.17884,2,1,1,3,3,0.25877,0.9998,0.001
0.81763,0.72024,0.084997,2,3,2,2,3,0.46118,0.0087,0.637
0.2441,0.9191,0.71265,1,2,1,2,3,0.18907,0.9998,0.098
0.62028,0.82268,0.97726,1,1,3,1,3,0.19196,0.0032,0.255
0.56427,0.43117,0.53169,1,3,3,2,1,0.17752,0.0208,0.338
0.67811,0.33674,0.80117,1,3,2,3,1,0.33928,0.9998,0.025
0.31607,0.35424,0.85061,3,1,3,2,2,0.072263,0.3266,0.002
0.22653,0.5786,0.69657,2,2,3,2,3,0.03232,0.1275,0.223
0.98605,0.80273,0.41318,3,2,3,2,1,0.049315,0.001,0.445
0.4968,0.31569,0.053832,3,2,1,1,3,0.070437,0.0593,0.53
0.89765,0.502,0.26905,3,2,2,2,1,0.2971,0.0021,0.378
0.28284,0.44363,0.43913,2,2,2,3,2,0.013625,0.9998,0.052
0.86219,0.61005,0.54801,3,2,1,2,1,0.28343,0.9998,0.054
0.73826,0.3266,0.95424,3,2,1,2,1,0.37119,0.9998,0.019
0.99334,0.54969,0.75286,3,2,1,1,3,0.055024,0.001,0.857
0.45096,0.74805,0.13204,2,2,3,1,1,0.22641,0.0076,0.855
0.70058,0.46931,0.75983,2,3,1,2,3,0.14546,0.9998,0.118
0.29086,0.46976,0.93668,1,1,2,2,1,0.4301,0.9998,0.001
0.98974,0.42857,0.86166,2,2,2,2,1,0.016316,0.001,0.372
0.54327,0.47599,0.57857,1,3,2,1,3,0.45774,0.0131,0.64
0.75379,0.39236,0.35592,3,2,2,1,1,0.19794,0.0021,0.753
0.48838,0.81033,0.20262,3,1,3,1,1,0.10814,0.0054,0.433
0.19003,0.30126,0.71176,3,2,1,3,3,0.43386,0.9998,0.006
0.0075074,0.78225,0.94602,1,1,2,2,2,0.43677,0.9998,0.001
0.30081,0.8587,0.79564,1,2,1,2,2,0.39055,0.9998,0.063
0.11357,0.93901,0.48166,2,1,3,3,1,0.4259,0.9998,0.001
0.77723,0.65774,0.02775,3,1,1,1,2,0.49519,0.0043,0.56
0.75099,0.40746,0.35679,2,1,1,2,2,0.071975,0.9998,0.004
0.49741,0.67649,0.87091,3,2,1,1,3,0.36142,0.9987,0.152
